Year,Driver Name,Driver Number,Race Location,Date,Session Name,Session Type,Fastest Lap Time
2024,M VERSTAPPEN,1,"Melbourne, Australia",2024-03-23,Qualifying,Qualifying,1:16.048
2024,C LECLERC,16,"Melbourne, Australia",2024-03-24,Race,Race,1:19.813
2024,M VERSTAPPEN,1,"Suzuka, Japan",2024-04-05,Practice 1,Practice,1:30.056
2024,O PIASTRI,81,"Suzuka, Japan",2024-04-05,Practice 2,Practice,1:34.725
2024,M VERSTAPPEN,1,"Suzuka, Japan",2024-04-06,Practice 3,Practice,1:29.563
2024,M VERSTAPPEN,1,"Suzuka, Japan",2024-04-06,Qualifying,Qualifying,1:28.240
2024,M VERSTAPPEN,1,"Suzuka, Japan",2024-04-07,Race,Race,1:33.706
2024,L STROLL,18,"Shanghai, China",2024-04-19,Practice 1,Practice,1:36.302
2024,M VERSTAPPEN,1,"Shanghai, China",2024-04-19,Sprint Qualifying,Qualifying,1:35.606
2024,M VERSTAPPEN,1,"Shanghai, China",2024-04-20,Sprint,Race,1:40.331
2024,M VERSTAPPEN,1,"Shanghai, China",2024-04-20,Qualifying,Qualifying,1:33.946
2024,F ALONSO,14,"Shanghai, China",2024-04-21,Race,Race,1:37.810
2024,M VERSTAPPEN,1,"Miami, United States",2024-05-03,Practice 1,Practice,1:28.595
2024,L NORRIS,4,"Miami, United States",2024-05-03,Sprint Qualifying,Qualifying,1:27.597
2024,M VERSTAPPEN,1,"Miami, United States",2024-05-04,Sprint,Race,1:30.415
2024,M VERSTAPPEN,1,"Miami, United States",2024-05-04,Qualifying,Qualifying,1:27.241
2024,O PIASTRI,81,"Miami, United States",2024-05-05,Race,Race,1:30.634
2024,G RUSSELL,63,"Imola, Italy",2024-05-17,Practice 1,Practice,1:17.094
2024,C LECLERC,16,"Imola, Italy",2024-05-17,Practice 2,Practice,1:15.906
2024,O PIASTRI,81,"Imola, Italy",2024-05-18,Practice 3,Practice,1:15.529
